id,collection,status,launch_game_id,name,provider,studio_id,studio_name,upload_date_image_1,upload_date_image_2,upload_date_image_3
218,casino,Published,vs25vegas,Vegas Nights,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
217,casino,Published,vs40streetracer,Street Racer,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
216,casino,Published,vs10tictac,Tic Tac Take,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
215,casino,Published,vs50hercules,Hercules Son of Zeus,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
214,casino,Published,vs20gorilla,Jungle Gorilla,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
213,casino,Published,vs10frontrun,Front Runner Odds On,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
212,casino,Published,vs20sugarcoins,Viking Forge,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
211,casino,Published,vs25copsrobbers,Cash Patrol,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
210,casino,Published,vswaysspltsym,Dwarf & Dragon,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
209,casino,Published,vswaysrsm,Wild Celebrity Bus Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
208,casino,Published,vs10cowgold,Cowboys Gold,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
207,casino,Published,vs20bison,Release the Bison,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
206,casino,Published,vs20mustanggld2,Clover Gold,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
205,casino,Published,vs20pistols,Wild West Duels,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
204,casino,Published,vs20rhino,Great Rhino,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
203,casino,Published,vswaysfltdrg,Floating Dragon Hold & Spin Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
202,casino,Published,vs20lobseafd,Lobster Bob's Sea Food and Win It,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
201,casino,Published,vs10mayangods,John Hunter And The Mayan Gods,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
200,casino,Published,vs20fparty2,Fruit Party 2,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
199,casino,Published,vs20clspwrndg,Sweet Powernudge,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
198,casino,Published,vs20stickypos,Ice Lobster,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
197,casino,Published,vswayspowzeus,Power of Merlin Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
196,casino,Published,vs20muertos,Muertos Multiplier Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
195,casino,Published,vs25hotfiesta,Hot Fiesta,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
194,casino,Published,vs5ultra,Ultra Hold and Spin,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
193,casino,Published,vs20santawonder,Santa's Wonderland,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
192,casino,Published,vs20superlanche,Monster Superlanche,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
191,casino,Published,vs20trswild2,Black Bull,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
190,casino,Published,vs243lionsgold,5 Lions Gold,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
189,casino,Published,vswayswerewolf,Curse of the Werewolf Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
188,casino,Published,vs20sbxmas,Sweet Bonanza Xmas,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
187,casino,Published,vs20wildparty,3 Buzzing Wilds,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
186,casino,Published,vs20midas,The Hand of Midas,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
185,casino,Published,vs20multiup,Wheel O'Gold,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
184,casino,Published,vs25pyramid,Pyramid King,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
183,casino,Published,vs20shootstars,Heroic Spins,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
182,casino,Published,vs10fisheye,Fish Eye,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
181,casino,Published,vs5hotburn,Hot to Burn,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
180,casino,Published,vs50jucier,Sky Bounty,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
179,casino,Published,vs12tropicana,Club Tropicana,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
178,casino,Published,vswaystut,Book of Tut Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
177,casino,Published,vswayspizza,PIZZA PIZZA PIZZA,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
176,casino,Published,vs10floatdrg,Floating Dragon,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
175,casino,Published,vswaysmegareel,Pompeii Megareels Megaways,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
174,casino,Published,vs25goldparty,Gold Party,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
173,casino,Published,vs10bookoftut,Book of Tut,Pragmatic,pragmatic-play,PRAGMATIC-PLAY,2024-08-08,,
